#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -0.9 -0.75 -2.4 -2.3 21.4243755211
11.0 11.175 -0.9 -0.75 -2.3 -2.2 18.4768283679
11.0 11.175 -0.9 -0.75 -2.2 -2.1 21.7431863541
11.0 11.175 -0.9 -0.75 -2.1 -2.0 20.0178171079
11.0 11.175 -0.9 -0.75 -2.0 -1.9 18.2036047302
11.0 11.175 -0.9 -0.75 -1.9 -1.8 20.2645100425
11.0 11.175 -0.9 -0.75 -1.8 -1.7 20.7417879663
11.0 11.175 -0.9 -0.75 -1.7 -1.6 21.3567953978
11.0 11.175 -0.9 -0.75 -1.6 -1.5 23.484757689
11.0 11.175 -0.9 -0.75 -1.5 -1.4 21.1914397587
11.0 11.175 -0.9 -0.75 -1.4 -1.3 22.526227929
11.0 11.175 -0.9 -0.75 -1.3 -1.2 22.6440175241
11.0 11.175 -0.9 -0.75 -1.2 -1.1 23.1122056988
11.0 11.175 -0.9 -0.75 -1.1 -1.0 22.6595177943
11.0 11.175 -0.9 -0.75 -1.0 -0.9 23.5645917244
11.0 11.175 -0.9 -0.75 -0.9 -0.8 23.9119828818
11.0 11.175 -0.9 -0.75 -0.8 -0.7 21.5797041844
11.0 11.175 -0.9 -0.75 -0.7 -0.6 20.5486359588
11.0 11.175 -0.9 -0.75 -0.6 -0.5 13.2977248377
11.0 11.175 -0.75 -0.6 -2.5 -2.4 19.8631765644
11.0 11.175 -0.75 -0.6 -2.4 -2.3 25.0756058253
11.0 11.175 -0.75 -0.6 -2.3 -2.2 18.8335961448
11.0 11.175 -0.75 -0.6 -2.2 -2.1 20.0366977424
11.0 11.175 -0.75 -0.6 -2.1 -2.0 20.3951624835
11.0 11.175 -0.75 -0.6 -2.0 -1.9 20.3071585938
11.0 11.175 -0.75 -0.6 -1.9 -1.8 24.8966097989
11.0 11.175 -0.75 -0.6 -1.8 -1.7 22.749429331
11.0 11.175 -0.75 -0.6 -1.7 -1.6 25.1522003762
11.0 11.175 -0.75 -0.6 -1.6 -1.5 24.9775284834
11.0 11.175 -0.75 -0.6 -1.5 -1.4 21.4478605598
11.0 11.175 -0.75 -0.6 -1.4 -1.3 27.2809765966
11.0 11.175 -0.75 -0.6 -1.3 -1.2 38.7449661667
11.0 11.175 -0.75 -0.6 -1.2 -1.1 35.9934890046
11.0 11.175 -0.75 -0.6 -1.1 -1.0 29.40070504
11.0 11.175 -0.75 -0.6 -1.0 -0.9 25.8365433386
11.0 11.175 -0.75 -0.6 -0.9 -0.8 23.8400349031
11.0 11.175 -0.75 -0.6 -0.8 -0.7 28.4539724114
11.0 11.175 -0.75 -0.6 -0.7 -0.6 34.5033662839
11.0 11.175 -0.75 -0.6 -0.6 -0.5 49.8982509696
11.0 11.175 -0.6 -0.45 -2.5 -2.4 20.9803915129
11.0 11.175 -0.6 -0.45 -2.4 -2.3 21.6172229826
11.0 11.175 -0.6 -0.45 -2.3 -2.2 27.9133929027
11.0 11.175 -0.6 -0.45 -2.2 -2.1 38.0896081969
11.0 11.175 -0.6 -0.45 -2.1 -2.0 27.4559949027
11.0 11.175 -0.6 -0.45 -2.0 -1.9 17.5938406019
11.0 11.175 -0.6 -0.45 -1.9 -1.8 35.2299567994
11.0 11.175 -0.6 -0.45 -1.8 -1.7 34.7575615996
11.0 11.175 -0.6 -0.45 -1.7 -1.6 28.8589471042
11.0 11.175 -0.6 -0.45 -1.6 -1.5 34.6830092187
11.0 11.175 -0.6 -0.45 -1.5 -1.4 22.9107156452
11.0 11.175 -0.6 -0.45 -1.4 -1.3 31.7463366058
11.0 11.175 -0.6 -0.45 -1.3 -1.2 42.0804235766
11.0 11.175 -0.6 -0.45 -1.2 -1.1 40.1071074844
11.0 11.175 -0.6 -0.45 -1.1 -1.0 42.1330993261
11.0 11.175 -0.6 -0.45 -1.0 -0.9 31.2517696218
11.0 11.175 -0.6 -0.45 -0.9 -0.8 36.7853955083
11.0 11.175 -0.6 -0.45 -0.8 -0.7 30.9493920767
11.0 11.175 -0.6 -0.45 -0.7 -0.6 41.5831879239
11.0 11.175 -0.6 -0.45 -0.6 -0.5 65.9657572077
11.0 11.175 -0.45 -0.3 -2.5 -2.4 19.1647613714
11.0 11.175 -0.45 -0.3 -2.4 -2.3 59.2561317188
11.0 11.175 -0.45 -0.3 -2.3 -2.2 34.6730700194
11.0 11.175 -0.45 -0.3 -2.2 -2.1 42.3473196484
11.0 11.175 -0.45 -0.3 -2.1 -2.0 43.0677306778
11.0 11.175 -0.45 -0.3 -2.0 -1.9 17.2256919889
